ident;type;name;elevation_ft;continent;iso_country;iso_region;municipality;gps_code;local_code;coordinates
BR-0868;heliport;Igarashi Heliport;2674.0;SA;BR;BR-SC;Papanduva;SIGH;SC0051;-26.392831, -50.164744
BR-0869;heliport;Fazenda Cardeiros Heliport;59.0;SA;BR;BR-RJ;São Pedro da Aldeia;SIGI;RJ0077;-22.879151, -42.131377
BR-0870;heliport;Gandini Terras Heliport;1903.0;SA;BR;BR-SP;Itu;SIGM;SP0494;-23.298827, -47.287635
BR-0871;small_airport;Pista Aldeia Kenjdã;892.0;SA;BR;BR-PA;Altamira;SIOZ;PA0051;-7.957261, -53.262633
BR-0872;heliport;Asa Branca Heliport;1624.0;SA;BR;BR-PE;Gravatá;SIGR;PE0027;-8.190833, -35.5175
BR-0873;heliport;Iguatemi Ribeirão Preto Helipad;2021.0;SA;BR;BR-SP;Ribeirão Preto;SIGU;SP0496;-21.225657, -47.83686
BR-0874;small_airport;Fazenda Serra Grande Airport;1739.0;SA;BR;BR-PI;Ribeiro Gonçalves;SIGW;PI0020;-8.343619, -45.517925
BR-0875;small_airport;Agropecuária São Bernardo Airport;1070.0;SA;BR;BR-RS;São Miguel das Missões;SIHA;RS0061;-28.817551, -54.382433
BR-0876;heliport;Fortesolo Heliport;33.0;SA;BR;BR-PR;Paranaguá;SIHE;PR0108;-25.55426, -48.557693
BR-0877;heliport;Flamboyant II Helipad;2736.0;SA;BR;BR-GO;Goiânia;SIHF;GO0156;-16.709452, -49.235734
BR-0878;heliport;Gois Heliport;3704.0;SA;BR;BR-GO;Valparaíso de Goiás;SIHG;GO0157;-16.063639, -47.998862
BR-0879;heliport;Insólito Hotel Heliport;79.0;SA;BR;BR-RJ;Armação de Búzios;SIHH;RJ0080;-22.770088, -41.882726
BR-0880;heliport;Jaru Tradição Heliport;505.0;SA;BR;BR-RO;Jaru;SIHJ;RO0041;-10.4425, -62.448333
BR-0881;heliport;Marina Beach Tower Helipad;26.0;SA;BR;BR-SC;Balneário Camboriú;SIHN;SC0052;-27.005694, -48.620682
BR-0882;heliport;Federal District Public Security Secretary Helipad;3757.0;SA;BR;BR-DF;Brasília;;;-15.779851, -47.907915
BR-0883;heliport;Vilacóptero II Heliport;98.0;SA;BR;BR-ES;Vila Velha;SIHR;ES0017;-20.503154, -40.373329
BR-0884;heliport;PFB Heliport;43.0;SA;BR;BR-CE;Aquiraz;SIHU;CE0073;-3.925428, -38.324583
BR-0885;small_airport;Fazenda Ouro Verde Airport;1900.0;SA;BR;BR-MT;Juscimeira;SIHV;MT0096;-16.236783, -55.116159
BR-0886;small_airport;Tom Aviação Agrícola Ltda. Airstrip;1716.0;SA;BR;BR-SP;Itápolis;SIHY;SP0181;-21.621, -48.794454
BR-0887;closed;Lagoa Heliport;7.0;SA;BR;BR-CE;Eusébio;;;-3.811389, -38.438889
BR-0888;small_airport;Celeiro 1 Airport;2749.0;SA;BR;BR-BA;Jaborandi;SIIC;BA0087;-14.370574, -45.5439
BR-0889;small_airport;Fazenda Dona Chica Airport;108.0;SA;BR;BR-RS;Osório;SIID;RS0062;-30.033611, -50.372222
BR-0890;small_airport;Fazenda Santa Fé Airport;1083.0;SA;BR;BR-MS;Guia Lopes da Laguna;SIIE;MS0085;-21.473518, -55.878868
